Sentence,negatif,neutral,positif,compound
I think the game is fun.,0.0,0.548,0.452,0.5106
what makes this world so dark.,0.0,1.0,0.0,0.0
I feel so beautiful when I look at the stars.,0.0,0.625,0.375,0.6361
I like eating fruits.,0.0,0.444,0.556,0.3612
I hate seeing myself in pain the most.,0.583,0.417,0.0,-0.7906
I really want to play chess alone.,0.216,0.324,0.46,0.3086
That puppy is so cute.,0.0,0.509,0.491,0.5949
Tell me about a heroic hero.,0.0,0.294,0.706,0.802
I really like playing with cute cats.,0.0,0.276,0.724,0.7828
I really like listening to the sound of rain.,0.0,0.715,0.285,0.4201
why is the elephant fat.,0.0,1.0,0.0,0.0
people when walking look in a hurry.,0.0,1.0,0.0,0.0
one time I really want to feel the meeting of destiny.,0.0,0.85,0.15,0.1513
sometimes I really like to play the water that falls from the sky.,0.0,0.647,0.353,0.6659
the world is beautiful when seen alone.,0.183,0.459,0.358,0.4404
the beauty of summer with a loved one makes me smile.,0.0,0.407,0.593,0.8807
I really like the soft sound of the piano.,0.0,0.715,0.285,0.4201
walking around looking at the beautiful park.,0.0,0.606,0.394,0.5994
I once played chess alone.,0.312,0.312,0.375,0.1027
Do you know the beautiful feeling of being alone.,0.149,0.448,0.403,0.5267
How beautiful do you think a person feels?,0.0,0.606,0.394,0.5994
The sky is beautiful with summer.,0.0,0.562,0.438,0.5994
The city is so beautiful when I look at it at night.,0.0,0.667,0.333,0.7177
The sparkling stars make me sad.,0.333,0.43,0.237,-0.2263
tell me about mice.,0.0,1.0,0.0,0.0
tell me what paper is.,0.0,1.0,0.0,0.0
i am very interested in how dogs can smell from a distance.,0.0,0.75,0.25,0.4576
i wonder why planes can fly.,0.0,1.0,0.0,0.0
what makes rain happen.,0.0,1.0,0.0,0.0
interesting facts about trees.,0.0,0.526,0.474,0.4019
the forest turned out to be so peaceful and calm.,0.0,0.545,0.455,0.7704
what makes chocolate so sweet.,0.0,0.509,0.491,0.5949
i love watching the sunset.,0.0,0.417,0.583,0.6369
how cute is the girl with the red ribbon in her hair.,0.0,0.786,0.214,0.4588
tell me about the beauty of valentine's day.,0.0,0.648,0.352,0.5859
interesting things about water.,0.0,0.526,0.474,0.4019
midnight is so peaceful.,0.0,0.422,0.578,0.6269
i always stare at the clouds that decorate the blue sky.,0.0,1.0,0.0,0.0
I once spoke sweetly of cats.,0.0,0.563,0.437,0.4767
I once spoke of the beauty of the sky.,0.0,0.648,0.352,0.5859
I once told about the comfort of the dark night.,0.0,0.762,0.238,0.3612
I once talked about the calmness of the rain.,0.0,0.722,0.278,0.4019
I once talked about the sea and summer.,0.0,1.0,0.0,0.0
I've talked about sweet cakes.,0.0,0.571,0.429,0.4588
I've talked about weird cars.,0.298,0.702,0.0,-0.1779
I've talked about annoying things.,0.403,0.597,0.0,-0.4019
I've been yelled at because I'm bad.,0.368,0.632,0.0,-0.5423
I've been sad because I failed.,0.681,0.319,0.0,-0.7506
I've been so angry for no reason.,0.573,0.427,0.0,-0.7721
I've seen how ugly flies are.,0.398,0.602,0.0,-0.5106
I feel so stupid.,0.649,0.351,0.0,-0.5709
I'm really bad at talking.,0.487,0.513,0.0,-0.5849
I am a mother of three.,0.0,1.0,0.0,0.0
I am thinking of becoming a mother next year.,0.0,1.0,0.0,0.0
I love to eat pita bread with hummus.,0.27,0.397,0.333,0.2023
I go to work early in the morning as a nurse.,0.0,1.0,0.0,0.0
My father lives in china.,0.0,1.0,0.0,0.0
I have a boxer dog.,0.0,1.0,0.0,0.0
I like baths.,0.0,0.286,0.714,0.3612
I like to exercise.,0.0,0.444,0.556,0.3612
I am always happy when the summer ends.,0.0,0.619,0.381,0.5719
Sometimes i wish my computer would work faster.,0.0,0.69,0.31,0.4019
Rita hayworth is the woman of my dreams.,0.0,0.722,0.278,0.4019
I like standing in the rain.,0.0,0.615,0.385,0.3612
I prefer summer over winter.,0.0,1.0,0.0,0.0
I graduated college a few years ago.,0.0,1.0,0.0,0.0
I was born outside the us.,0.0,1.0,0.0,0.0
I ve a big family.,0.0,1.0,0.0,0.0
My mother died when i was a child.,0.419,0.581,0.0,-0.5574
I like to run.,0.0,0.444,0.556,0.3612
Cooking is my passion.,0.0,0.5,0.5,0.4588
My favorite color is blue.,0.0,0.571,0.429,0.4588
I like toyota cars.,0.0,0.444,0.556,0.3612
I like to vote.,0.0,0.444,0.556,0.3612
Someday i would like a truck.,0.0,0.545,0.455,0.3612
I do not like working long hours.,0.297,0.703,0.0,-0.2755
I like collectible dragon ball z figures.,0.0,0.615,0.385,0.3612
I love huge paintings.,0.0,0.133,0.867,0.7579
