Memories ,negatif,neutral,positif,compound,level_feel
"I am a geology major at alabama university.
I have a girlfriend of 7 years.
I never have had alcohol in my life.
I watch every football game at alabama.
I currently suffer from social anxiety.",0.167,0.833,0.0,-0.6369,0
"I m the youngest of five.
I live in the city of grand rapids , michigan.
I work at the hospital as a nurse.
I m allergic to bees.",0.091,0.785,0.124,0.2023,1
"We just bought a house near her parents.
My girlfriend is 6 months pregnant.
I am proposing tonight.
I graduated college last week.",0.0,1.0,0.0,0.0,1
"I love to go shopping and inspire myself in stylish stores.
Since young i have loved fashion.
My desire is to become a fashion designer.
I moved to ny to study in a prestigious designing school.",0.0,0.651,0.349,0.9382,2
"I work in marketing.
My hiking boots are pink.
The appalachian trail is my favorite.
I love to hike.
I like folk music.",0.0,0.637,0.363,0.8658,2
"I love the snow.
My favorite actor is robert denaro.
I like to surf every chance i get.
I am saving for college.",0.0,0.562,0.438,0.8934,2
"I work at google.
I am a software engineer.
I live in seattle.
I started at google on an internship.
My favorite seafood in lobster.",0.0,0.864,0.136,0.4588,1
"I like to draw.
My favorite food is tacos.
I am a vegan.
I am studying literature.
I am from france.",0.0,0.718,0.282,0.6705,2
"I go to craft shows on the weekends.
During the week , i work as a barista.
I live with my boyfriend in an apartment.
My favorite book is the bible.",0.0,0.893,0.107,0.4588,1
"I am a georgia resident.
I like nfl and college football.
I play in a nfl fantasy football league.
I love to read fiction books.
My favorite fiction genres are sci fi and horror.",0.095,0.593,0.312,0.8126,2
"I wonder what it would be like to be a different gender.
I feel that i can t live up to many people s standards.
I am afraid of rejection from my parents.
I am unsure of who i am attracted to.",0.138,0.729,0.133,-0.0516,0
"I enjoy baking and cooking.
My mother is an immigrant from saudi arabia.
My daughters say i am a great mother.
I am a woman.
I have a family of three daughters.",0.0,0.759,0.241,0.8074,2
"I like to cook.
When i retire i want to open a bakery.
I work 9 to 5 job.
Sometimes i volunteer at the soup kitchen.
My family owned a small restaurant.",0.0,0.847,0.153,0.4215,1
"I am a school psychologist.
I am learning how to play the piano.
Chocolate is my favorite food.
I am the youngest sibling of four.",0.0,0.779,0.221,0.6597,2
"I have a toddler.
My favorite singer is taylor swift.
I work for a beer distributor.
I am married.",0.0,0.714,0.286,0.5859,2
"I am a graduate student.
I m always early.
I am in between classes.
I volunteer with dogs.",0.0,1.0,0.0,0.0,1
"Recently i started a youtube channel where i share make up tutorials too.
I have reached 50k subscribers !.
I like to watch make up tutorials in youtube.
I started taking beauty classes too.",0.0,0.702,0.298,0.8478,2
"My youngest sister is in first grade.
I have four siblings.
I am the oldest sibling.
I am 5 3 and am the shortest person in my family.
My father is a school teacher , he teaches middle school.",0.0,1.0,0.0,0.0,1
"My favorite animal is a bear.
I am a paper salesman.
My favorite show is battlestar galactica.
I live on a beet farm.
I think beets are the best vegetable.",0.0,0.673,0.327,0.8807,2
"I drive a jag.
I like to go to bars and people watch.
I am an angry person.
I am an old man.",0.151,0.734,0.115,-0.2023,0
"I am in the navy.
I am an orphan who was in the foster care system.
I listen to folk music.
I went to a community college and got a degree in communication.",0.0,0.89,0.11,0.4939,1
"I have a family of three daughters.
I am a woman.
My daughters say i am a great mother.
My mother is an immigrant from saudi arabia.",0.0,0.83,0.17,0.6249,2
"I grow the tallest sunflowers you have ever seen.
My husband and i have a suicide pact.
I love agatha christie novels.
I spend most of my days working at my churchs food pantry.
I have 5 children , though 2 have passed away.",0.108,0.791,0.101,-0.0772,0
"My favorite hobby is gardening.
I am 77 years old.
My family gets together every saturday.
Black coffee is my addiction.
My husband died last year.",0.122,0.777,0.101,-0.1531,0
"My favorite color is blue.
I drive a four wheel drive vehicle.
I like to draw and paint in my spare time.
I wear a uniform to work.
My house is paid for.",0.0,0.825,0.175,0.6705,2
"I am a female and love to be surrounded by males.
People say i have a cute laugh.
I working in a publishing building.
I am still in love with my ex boyfriend.
I love to cook for my family and friends.",0.0,0.557,0.443,0.9729,2
"I prefer the simpler times.
I like simple jokes.
Some jokes go too far.
I like the flintstones.",0.0,0.55,0.45,0.7906,2
"I currently work in an office job.
I enjoy visiting national parks.
One of my favorite hobbies is gaming.
I enjoy running.",0.0,0.63,0.37,0.8555,2
"My father is dead.
My boyfriend is in the army.
My favorite color is yellow.
I play piano.
My hair is short.",0.155,0.65,0.195,0.0258,1
"I play a lot of video games.
I love cats.
I decorate cakes for a living.
I am slightly overweight , but my doctors say i m healthy.
I m a lesbian.",0.063,0.629,0.308,0.7389,2
"I live in the city.
I went to college and graduated few years ago.
Now i also work at a bank.
I grew up in the upstate.
My father used to work for a bank.",0.0,1.0,0.0,0.0,1
"I am an excellent baker.
Everyone says my pecan pie is the best they have ever had.
My landlord is raising my rent.
I went to law school.
I was born on christmas day.",0.0,0.786,0.214,0.836,2
"I spend time signing a lot of petitions and donate to animal rights groups.
I volunteer walking dogs twice a week.
I am a vegan.
I love animals.
I have an 18 year old son.",0.0,0.861,0.139,0.6369,2
"I eat mainly chinese food.
I make robots for a living.
I am a night owl.
I am single and live alone.",0.118,0.882,0.0,-0.25,0
"I am a lesbian.
My father recently had a heart attack.
I play the guitar.
I write short films.",0.177,0.686,0.137,-0.1779,0
"My favorite sport is football.
I volunteer at my local animal shelter.
I love travelling and discovering new cultures.
I am a military veteran.",0.0,0.714,0.286,0.802,2
"I m scared of left turns.
I drive a blue honda civic.
I think i m failing my women s studies class.
I have four siblings.
I got hired last week at mcdonald s.",0.22,0.78,0.0,-0.7351,0
