Celcius;Windspeeds;condition;Humidity
11;33;Cold;33
34;42;Very Hot;43
13;47;Cold;38
15;58;Cold;37
25;48;Hot;40
33;45;Very Hot;47
29;43;Hot;32
25;33;Hot;49
27;56;Hot;43
20;37;Warm;36
35;55;Very Hot;33
27;35;Hot;41
33;34;Very Hot;31
17;38;Cold;36
27;46;Hot;42
14;39;Cold;47
31;36;Very Hot;31
21;37;Warm;38
35;44;Very Hot;41
20;50;Warm;37
13;38;Cold;41
21;34;Warm;37
35;36;Very Hot;38
19;47;Cold;36
20;58;Warm;39
12;37;Cold;32
29;40;Hot;46
15;47;Cold;36
29;39;Hot;40
25;34;Hot;43
21;33;Warm;36
28;37;Hot;44
27;35;Hot;48
16;38;Cold;36
27;39;Hot;42
15;34;Cold;33
28;44;Hot;46
29;51;Hot;35
35;39;Very Hot;31
21;56;Warm;44
30;46;Very Hot;39
24;56;Warm;33
33;59;Very Hot;39
26;56;Hot;40
33;58;Very Hot;48
23;39;Warm;35
28;52;Hot;45
18;54;Cold;42
11;57;Cold;46
34;53;Very Hot;37
35;42;Very Hot;37
23;54;Warm;46
22;34;Warm;49
20;36;Warm;46
10;36;Cold;45
21;57;Warm;42
16;57;Cold;40
27;43;Hot;37
24;36;Warm;46
23;46;Warm;43
14;53;Cold;34
10;35;Cold;39
28;33;Hot;44
19;54;Cold;33
29;39;Hot;37
22;58;Warm;45
11;41;Cold;45
28;47;Hot;44
16;53;Cold;42
14;55;Cold;48
34;31;Very Hot;40
32;46;Very Hot;40
19;54;Cold;31
12;42;Cold;47
21;42;Warm;31
22;59;Warm;47
22;53;Warm;39
29;48;Hot;43
28;37;Hot;37
31;48;Very Hot;45
15;39;Cold;32
22;32;Warm;34
24;38;Warm;45
17;58;Cold;48
25;44;Hot;35
18;48;Cold;39
30;36;Very Hot;37
31;45;Very Hot;36
26;34;Hot;44
28;43;Hot;46
14;48;Cold;44
26;55;Hot;47
25;44;Hot;34
25;34;Hot;33
14;59;Cold;40
35;44;Very Hot;35
11;50;Cold;39
33;48;Very Hot;32
13;33;Cold;33
11;45;Cold;31
30;97;Very Hot;14
32;77;Very Hot;81
25;19;Hot;60
34;37;Very Hot;100
11;12;Cold;13
23;83;Warm;21
11;19;Cold;63
13;67;Cold;13
27;28;Hot;96
30;32;Very Hot;50
22;88;Warm;51
17;85;Cold;28
12;90;Cold;85
12;20;Cold;62
27;59;Hot;82
34;47;Very Hot;18
19;58;Cold;89
11;68;Cold;92
26;52;Hot;83
12;64;Cold;69
25;53;Hot;47
26;80;Hot;68
10;45;Cold;76
23;76;Warm;87
26;35;Hot;68
22;25;Warm;78
33;45;Very Hot;100
35;70;Very Hot;64
33;11;Very Hot;57
19;34;Cold;38
26;98;Hot;79
34;50;Very Hot;31
14;10;Cold;73
20;46;Warm;35
27;98;Hot;27
13;66;Cold;28
22;84;Warm;11
16;31;Cold;68
27;82;Hot;66
27;10;Hot;78
13;34;Cold;85
13;34;Cold;35
24;52;Warm;54
26;54;Hot;88
16;83;Cold;82
19;42;Cold;34
18;38;Cold;61
31;13;Very Hot;45
17;93;Cold;60
24;44;Warm;23
34;71;Very Hot;92
21;98;Warm;94
18;14;Cold;59
22;37;Warm;62
31;77;Very Hot;90
11;76;Cold;11
13;63;Cold;94
31;50;Very Hot;78
14;52;Cold;66
34;29;Very Hot;91
10;26;Cold;84
18;20;Cold;17
22;50;Warm;45
12;24;Cold;82
27;14;Hot;53
15;58;Cold;41
24;72;Warm;89
34;54;Very Hot;91
26;13;Hot;26
35;12;Very Hot;99
35;66;Very Hot;57
30;46;Very Hot;65
35;30;Very Hot;57
25;17;Hot;82
24;21;Warm;28
33;38;Very Hot;73
30;10;Very Hot;10
15;97;Cold;50
23;96;Warm;37
24;22;Warm;49
28;86;Hot;11
23;46;Warm;81
20;54;Warm;64
15;23;Cold;57
10;83;Cold;21
21;57;Warm;17
11;63;Cold;58
18;37;Cold;38
25;35;Hot;56
14;42;Cold;48
13;20;Cold;36
31;78;Very Hot;61
30;53;Very Hot;27
21;99;Warm;100
13;67;Cold;92
18;77;Cold;96
28;84;Hot;49
34;49;Very Hot;41
13;47;Cold;69
13;98;Cold;23
28;20;Hot;71
28;20;Hot;71
28;20;Hot;71
28;20;Hot;71
28;20;Hot;71
28;20;Hot;71
27;15;Hot;76
27;15;Hot;76
27;20;Hot;59
27;20;Hot;59
